date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:20	199148/199148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac24930-309ec%22	https://landing.zytheme.com/cobuild/assets/css/fonts/cons.svg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/cons.svg	(from https://landing.zytheme.com/cobuild/assets/css/cons.css)
15:00:20	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:18%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.eot	(from https://landing.zytheme.com/cobuild/assets/css/bootstrap.min.css)
15:00:21	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:19%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://landing.zytheme.com/cobuild/assets/css/bootstrap.min.css)
15:00:22	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:20%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.woff2	(from https://landing.zytheme.com/cobuild/assets/css/bootstrap.min.css)
15:00:23	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:21%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.woff	(from https://landing.zytheme.com/cobuild/assets/css/bootstrap.min.css)
15:00:24	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:22%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.ttf	(from https://landing.zytheme.com/cobuild/assets/css/bootstrap.min.css)
15:00:25	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:22%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/glyphicons-halflings-regular.svg	(from https://landing.zytheme.com/cobuild/assets/css/bootstrap.min.css)
15:00:25	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:23%20GMT	https://landing.zytheme.com/cobuild/assets/css/polina.jpg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/polina.jpg	(from https://landing.zytheme.com/cobuild/assets/css/style.css)
15:00:27	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:24%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont5b62.html	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:27	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:24%20GMT	https://landing.zytheme.com/cobuild/index-2.html	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/index-2.html	(from https://landing.zytheme.com/cobuild/landing-1.html)
15:00:28	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:25%20GMT	https://landing.zytheme.com/cobuild/assets/css/fonts/Stroke-Gap-Icons.eot	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Stroke-Gap-Icons.html	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:28	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:25%20GMT	https://landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free.svg?w118d	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free54e9.html	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:29	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:26%20GMT	https://landing.zytheme.com/cobuild/assets/css/owl.video.play.png	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/owl.video.play.html	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:29	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:26%20GMT	https://landing.zytheme.com/cobuild/assets/css/font/ytp-regular.eot	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/font/ytp-regular.html	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
